seconds;microseconds;left_x;right_x;groundsteering;
1584543201;717776;379;-1;-0.0599762;
1584543201;816091;189;-1;-0.0899643;
1584543201;916255;157;-1;-0.0899643;
1584543202;18843;132;-1;-0.0809625;
1584543202;115436;67;-1;-0.14994;
1584543202;217633;-1;-1;-0.164934;
1584543202;315380;283;-1;-0.128954;
1584543202;415658;260;-1;-0.125954;
1584543202;515532;209;-1;-0.125954;
1584543202;616413;122;-1;-0.125954;
1584543202;717554;52;-1;-0.104958;
1584543202;815545;278;-1;-0.0599762;
1584543202;915168;236;-1;-0.0479827;
1584543203;15539;196;-1;-0.0359804;
1584543203;115262;161;-1;-0.00299171;
1584543203;217441;123;-1;-0;
1584543203;315333;56;-1;-0;
1584543203;415176;262;-1;-0;
1584543203;515024;250;-1;-0;
1584543203;615812;258;-1;-0;
1584543203;716842;209;-1;-0.0119935;
1584543203;814951;231;-1;-0.113951;
1584543203;915103;185;-1;-0.0569756;
1584543204;14914;157;-1;-0;
1584543204;114905;59;-1;-0.116952;
1584543204;216876;333;-1;-0.14994;
1584543204;314840;299;-1;-0.14694;
1584543204;414876;274;-1;-0.128954;
1584543204;515402;159;-1;-0.128954;
1584543204;615479;480;-1;-0.128954;
1584543204;716590;277;-1;-0.0869637;
1584543204;815300;222;-1;-0;
1584543204;914743;105;-1;-0;
1584543205;14674;346;-1;-0;
1584543205;115144;345;-1;-0.203924;
1584543205;216350;344;-1;-0.22492;
1584543205;314628;188;-1;-0.18893;
1584543205;414961;253;-1;-0;
1584543205;514628;255;-1;-0;
1584543205;615231;155;-1;-0;
1584543205;716541;81;-1;0.143957;
1584543205;814545;27;-1;0.098966;
1584543205;914544;148;603;-0;
1584543206;14652;223;-1;-0;
1584543206;114673;269;609;-0;
1584543206;216205;178;-1;-0;
1584543206;314577;190;-1;-0;
1584543206;414660;210;493;-0;
1584543206;514348;209;533;0.00900175;
1584543206;615269;175;557;-0;
1584543206;716049;-1;628;0.00300058;
1584543206;814354;204;-1;0.131955;
1584543206;914460;247;325;0.119961;
1584543207;14281;216;377;0.0269964;
1584543207;114232;339;470;0.00600117;
1584543207;216106;281;549;-0;
1584543207;314220;284;614;-0;
1584543207;414209;419;524;0.0329887;
1584543207;514371;284;543;0.215927;
1584543207;614867;458;586;-0;
1584543207;719358;272;-1;-0;
1584543207;814532;404;-1;-0;
1584543207;914322;365;-1;-0.236913;
1584543208;14230;404;-1;-0.257908;
1584543208;114281;399;-1;-0.227911;
1584543208;215711;285;-1;-0.221919;
1584543208;314128;283;-1;-0.200924;
1584543208;414476;443;-1;-0.179929;
1584543208;514247;20;-1;-0.158942;
1584543208;614928;273;-1;-0.116952;
1584543208;715938;269;-1;-0.0749702;
1584543208;814242;226;-1;-0.0329798;
1584543208;914031;276;-1;-0;
1584543209;14119;96;-1;-0;
1584543209;114228;193;-1;-0.0269875;
1584543209;219230;209;-1;-0.0809625;
1584543209;316587;-1;-1;-0.0839631;
1584543209;414331;-1;-1;-0.134946;
1584543209;514123;491;-1;-0.134946;
1584543209;614674;-1;-1;-0.134946;
1584543209;715934;-1;-1;-0.125954;
1584543209;814030;-1;-1;-0;
1584543209;914237;-1;-1;-0;
1584543210;14049;252;637;-0;
1584543210;114024;234;-1;-0;
1584543210;216034;191;-1;-0;
1584543210;313778;116;-1;-0.00299171;
1584543210;413910;-1;-1;-0;
1584543210;514352;207;467;-0;
1584543210;614384;194;609;-0;
1584543210;715709;166;641;-0;
